  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1B GL2-C1A C1A-D2A D2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
    200  -0.101   0.614  -0.217   0.265  -0.048   0.427   0.231   0.172   0.410   0.345   0.219
    201  -0.155   0.598  -0.226   0.337  -0.077   0.423   0.228   0.155   0.456   0.407   0.238
    202  -0.174   0.610  -0.208   0.264  -0.051   0.443   0.190   0.196   0.496   0.410   0.254
    203  -0.112   0.632  -0.213   0.280  -0.043   0.402   0.220   0.130   0.461   0.352   0.169
    204  -0.191   0.617  -0.212   0.276  -0.043   0.429   0.207   0.164   0.473   0.350   0.224
    205  -0.127   0.631  -0.219   0.280  -0.068   0.436   0.205   0.166   0.449   0.374   0.223
    206  -0.130   0.634  -0.202   0.326  -0.072   0.389   0.218   0.176   0.463   0.362   0.217
    207  -0.119   0.639  -0.186   0.329  -0.078   0.381   0.215   0.150   0.428   0.367   0.150
    208  -0.138   0.633  -0.198   0.314  -0.074   0.403   0.274   0.192   0.489   0.417   0.220
    209  -0.187   0.652  -0.243   0.281  -0.054   0.374   0.284   0.174   0.489   0.386   0.164
    210  -0.111   0.608  -0.218   0.260  -0.059   0.369   0.222   0.142   0.451   0.364   0.224
    211  -0.152   0.623  -0.222   0.275  -0.040   0.412   0.205   0.168   0.423   0.314   0.215
    212  -0.129   0.641  -0.205   0.336  -0.084   0.416   0.257   0.190   0.426   0.364   0.192
    213  -0.143   0.628  -0.226   0.286  -0.061   0.446   0.221   0.205   0.434   0.347   0.189
    214  -0.159   0.608  -0.189   0.327  -0.088   0.401   0.234   0.155   0.423   0.327   0.213
    215  -0.102   0.613  -0.232   0.305  -0.015   0.456   0.229   0.184   0.478   0.364   0.195
    216  -0.144   0.635  -0.211   0.285  -0.055   0.413   0.264   0.215   0.469   0.371   0.220
    217  -0.153   0.625  -0.221   0.297  -0.054   0.402   0.243   0.188   0.430   0.392   0.226
    218  -0.142   0.630  -0.195   0.293  -0.064   0.420   0.219   0.186   0.446   0.389   0.198
    219  -0.141   0.641  -0.215   0.315  -0.090   0.410   0.243   0.232   0.502   0.382   0.214
    220  -0.151   0.633  -0.218   0.273  -0.048   0.443   0.211   0.176   0.458   0.344   0.219
    221  -0.157   0.619  -0.204   0.291  -0.053   0.405   0.188   0.170   0.470   0.380   0.194
    222  -0.110   0.630  -0.231   0.258  -0.029   0.412   0.183   0.145   0.457   0.377   0.227
    223  -0.117   0.608  -0.201   0.286  -0.067   0.443   0.237   0.181   0.464   0.379   0.229
    224  -0.146   0.648  -0.206   0.290  -0.024   0.433   0.178   0.154   0.416   0.361   0.245
    225  -0.164   0.654  -0.220   0.276  -0.051   0.437   0.219   0.203   0.445   0.387   0.235
    226  -0.134   0.662  -0.239   0.263  -0.013   0.400   0.226   0.174   0.474   0.376   0.243
    227  -0.096   0.618  -0.208   0.299  -0.047   0.411   0.230   0.155   0.455   0.372   0.225
    228  -0.141   0.613  -0.203   0.296  -0.053   0.412   0.222   0.156   0.460   0.391   0.213
    229  -0.137   0.621  -0.206   0.276  -0.046   0.405   0.204   0.126   0.472   0.382   0.239
    230  -0.144   0.651  -0.218   0.281  -0.047   0.414   0.252   0.171   0.412   0.350   0.193
    231  -0.127   0.605  -0.189   0.330  -0.085   0.404   0.218   0.201   0.457   0.382   0.238
    232  -0.123   0.617  -0.227   0.264  -0.068   0.410   0.215   0.218   0.451   0.383   0.234
    233  -0.146   0.589  -0.214   0.260  -0.046   0.415   0.244   0.188   0.429   0.363   0.239
    234  -0.139   0.623  -0.229   0.308  -0.064   0.381   0.251   0.203   0.449   0.339   0.231
    235  -0.152   0.639  -0.240   0.282  -0.067   0.428   0.219   0.190   0.439   0.341   0.236
    236  -0.153   0.640  -0.237   0.241  -0.048   0.411   0.247   0.141   0.452   0.328   0.206
    237  -0.149   0.626  -0.212   0.257  -0.053   0.424   0.243   0.180   0.400   0.300   0.209
    238  -0.159   0.637  -0.233   0.276  -0.055   0.422   0.234   0.200   0.447   0.421   0.222
    239  -0.156   0.625  -0.212   0.297  -0.057   0.414   0.228   0.244   0.473   0.349   0.198
    240  -0.103   0.604  -0.223   0.308  -0.064   0.430   0.268   0.172   0.454   0.339   0.233
    241  -0.124   0.633  -0.213   0.326  -0.051   0.421   0.219   0.161   0.441   0.315   0.217
    242  -0.137   0.612  -0.210   0.317  -0.059   0.394   0.222   0.196   0.458   0.335   0.199
    243  -0.120   0.618  -0.203   0.313  -0.083   0.422   0.272   0.218   0.418   0.365   0.224
    244  -0.130   0.621  -0.227   0.285  -0.064   0.369   0.206   0.137   0.440   0.328   0.188
    245  -0.114   0.643  -0.248   0.268  -0.013   0.426   0.183   0.198   0.426   0.360   0.258
    246  -0.126   0.629  -0.212   0.283  -0.062   0.440   0.245   0.181   0.434   0.329   0.202
    247  -0.162   0.628  -0.228   0.267  -0.039   0.430   0.217   0.173   0.464   0.361   0.225
    248  -0.148   0.626  -0.212   0.307  -0.069   0.427   0.255   0.217   0.440   0.402   0.235
    249  -0.155   0.647  -0.205   0.298  -0.068   0.412   0.210   0.142   0.434   0.349   0.192
    250  -0.146   0.623  -0.186   0.322  -0.084   0.442   0.256   0.205   0.460   0.323   0.234
    251  -0.144   0.641  -0.217   0.307  -0.044   0.391   0.253   0.198   0.444   0.336   0.220
    252  -0.175   0.620  -0.185   0.310  -0.064   0.365   0.218   0.173   0.445   0.356   0.180
    253  -0.160   0.603  -0.201   0.298  -0.062   0.431   0.192   0.154   0.414   0.348   0.229
    254  -0.144   0.622  -0.214   0.319  -0.066   0.429   0.231   0.181   0.437   0.404   0.237
    255  -0.094   0.634  -0.216   0.278  -0.051   0.394   0.259   0.190   0.446   0.351   0.222
    256  -0.138   0.633  -0.224   0.288  -0.074   0.389   0.202   0.172   0.480   0.406   0.242
    257  -0.100   0.617  -0.221   0.296  -0.049   0.424   0.237   0.204   0.438   0.365   0.166
    258  -0.153   0.582  -0.221   0.228  -0.011   0.387   0.240   0.149   0.409   0.306   0.196
    259  -0.132   0.625  -0.230   0.269  -0.053   0.453   0.250   0.170   0.451   0.381   0.265
    260  -0.155   0.610  -0.203   0.288  -0.071   0.427   0.232   0.200   0.461   0.379   0.255
    261  -0.149   0.623  -0.199   0.324  -0.087   0.364   0.214   0.182   0.460   0.317   0.191
    262  -0.151   0.646  -0.188   0.305  -0.083   0.383   0.199   0.184   0.457   0.356   0.256
    263  -0.110   0.620  -0.209   0.274  -0.068   0.395   0.234   0.192   0.458   0.371   0.193
    264  -0.124   0.648  -0.166   0.303  -0.054   0.432   0.266   0.209   0.463   0.358   0.233
    265  -0.148   0.600  -0.216   0.316  -0.043   0.417   0.258   0.213   0.466   0.326   0.171
